timestamp,world_index,world_index_corrected,x,y,z
6.883304840,193,206,2.87569137,-0.34982783,-1.44482979
6.904776776,194,207,2.87653890,-0.35050933,-1.44586373
6.943951994,195,208,2.87565020,-0.35123627,-1.44621160
6.948624326,195,208,2.87332145,-0.35139861,-1.44469449
6.964239954,196,209,2.87140717,-0.35111604,-1.44234518
6.986839306,196,209,2.87127911,-0.35067354,-1.44097016
7.003867312,197,210,2.87125970,-0.35027129,-1.44119979
7.024425732,197,210,2.87021255,-0.35038399,-1.44178706
7.046720572,198,211,2.86871243,-0.35046216,-1.44140656
7.063761567,198,211,2.86777266,-0.35080842,-1.44029689
7.084406859,199,212,2.86688974,-0.35233954,-1.44008171
7.109049438,200,213,2.86594895,-0.35356881,-1.44034344
7.123952286,200,213,2.86371263,-0.35480487,-1.43946774
7.144399489,201,214,2.86048464,-0.35567745,-1.43828305
7.166829335,202,215,2.85718058,-0.35492854,-1.43635791
7.184791024,202,215,2.85441598,-0.35481627,-1.43434599
7.204529233,203,216,2.85236441,-0.35523987,-1.43353799
7.226992518,203,216,2.85128243,-0.35569003,-1.43184043
7.244348799,204,217,2.85001611,-0.35577232,-1.43168032
7.271796950,205,218,2.84868357,-0.35660681,-1.43164761
7.286972341,205,218,2.84695526,-0.35762559,-1.43053457
7.303919368,206,219,2.84516584,-0.35799388,-1.42924637
7.333806781,207,220,2.84362189,-0.35827389,-1.42783903
7.346722788,207,220,2.84229512,-0.35835419,-1.42748065
7.363539165,207,220,2.84158517,-0.35843612,-1.42839963
7.385909649,208,221,2.84160037,-0.35803679,-1.42873441
7.408004836,209,222,2.84200021,-0.35746564,-1.42961378
7.423647910,209,222,2.84250357,-0.35717093,-1.43117761
7.446625203,210,223,2.84275702,-0.35735202,-1.43306039
7.467141919,211,224,2.84296330,-0.35767269,-1.43473562
7.483557651,211,224,2.84387978,-0.35731485,-1.43567622
7.507959644,212,225,2.84524148,-0.35743069,-1.43733413
7.527231333,212,225,2.84736895,-0.35713900,-1.43991802
7.543736311,213,226,2.84982866,-0.35662885,-1.44330290
7.566799295,213,226,2.85265304,-0.35648960,-1.44740473
7.588297934,214,227,2.85604339,-0.35647402,-1.45035069
7.609401607,215,228,2.85907707,-0.35780668,-1.45293457
7.626428855,215,228,2.86087402,-0.36014095,-1.45407333
7.655043335,216,229,2.86176330,-0.36133558,-1.45415025
7.663311803,216,229,2.86101497,-0.36137698,-1.45258247
7.687347450,217,230,2.85980943,-0.36164600,-1.45151278
7.707551941,218,231,2.85939592,-0.36161950,-1.45019996
7.724981691,218,231,2.85971099,-0.36163684,-1.44954779
7.746241449,219,232,2.86096249,-0.36176831,-1.45153872
7.767021638,219,232,2.86230475,-0.36294468,-1.45348041
7.783624986,220,233,2.86254377,-0.36334276,-1.45496975
7.807146637,221,234,2.86308561,-0.36310743,-1.45581928
7.826784009,221,234,2.86305409,-0.36308212,-1.45563996
7.843393257,222,235,2.86243748,-0.36351760,-1.45634129
7.865860118,222,235,2.86120675,-0.36435963,-1.45491406
7.887292830,223,236,2.86056579,-0.36518468,-1.45466746
7.903816902,224,237,2.86058190,-0.36471397,-1.45642499
7.925887761,224,237,2.86043210,-0.36487886,-1.45708133
7.947156339,225,238,2.85958122,-0.36669025,-1.45619896
7.963915132,225,238,2.85821142,-0.36768206,-1.45595998
7.986684730,226,239,2.85734488,-0.36814752,-1.45492101
8.007800427,227,240,2.85650753,-0.36861018,-1.45397880
8.023897284,227,240,2.85562754,-0.36839913,-1.45392872
8.046968125,228,241,2.85487052,-0.36735992,-1.45367687
8.074471098,229,242,2.85427387,-0.36593519,-1.45369101
8.085006650,229,242,2.85441647,-0.36536341,-1.45549546
8.106537639,230,243,2.85458419,-0.36527455,-1.45731268
8.126684512,230,243,2.85415999,-0.36553197,-1.45798921
8.157026280,231,244,2.85336419,-0.36577427,-1.45806606
8.166326327,231,244,2.85259450,-0.36547581,-1.45858351
8.186922564,232,245,2.85215478,-0.36506089,-1.46024971
8.209502400,233,246,2.85129670,-0.36495602,-1.46169939
8.225856519,233,246,2.85054348,-0.36485310,-1.46236847
8.247278778,234,247,2.85054348,-0.36485310,-1.46236847
8.271730399,235,248,2.85085875,-0.36574997,-1.46352850
8.285863902,235,248,2.85171173,-0.36714751,-1.46525184
8.309084314,236,249,2.85175833,-0.36977488,-1.46698340
8.329527266,236,249,2.85277806,-0.37632670,-1.46767214
8.346789712,237,250,2.85291979,-0.38090874,-1.46796719
8.369608359,237,250,2.85276493,-0.38321395,-1.46855556
8.389568310,238,251,2.85215252,-0.38202106,-1.46719807
8.406191299,239,252,2.85266567,-0.38058363,-1.46565817
8.428529951,239,252,2.85383007,-0.37993593,-1.46590203
8.449944991,240,253,2.85403516,-0.37751419,-1.46773832
8.466342711,240,253,2.85305952,-0.37596295,-1.47160319
8.488415846,241,254,2.85233610,-0.37741722,-1.47523121
8.511554102,242,255,2.85183359,-0.38077209,-1.47443443
8.526288963,242,255,2.85159469,-0.38334506,-1.46981163
8.549117948,243,256,2.85031486,-0.38296087,-1.46907980
8.569444701,243,256,2.84976612,-0.38033596,-1.47018011
8.586403671,244,257,2.84901653,-0.37666578,-1.47211565
8.609918539,245,258,2.84863054,-0.37109049,-1.47380172
8.632174799,245,258,2.84952925,-0.36378768,-1.47422724
8.646228397,246,259,2.85146478,-0.36055653,-1.47429750
8.668781730,246,259,2.85496956,-0.35842917,-1.47510818
8.689249089,247,260,2.86026424,-0.35417500,-1.47815486
8.706846622,247,260,2.86417458,-0.34881648,-1.48338765
8.728816866,248,261,2.86685151,-0.34133360,-1.48611444
8.749463650,249,262,2.86820942,-0.33390457,-1.48601681
8.774814245,250,263,2.87018181,-0.33081197,-1.48503705
8.795993854,250,263,2.87220039,-0.33082644,-1.48697401
8.810045864,251,264,2.87344651,-0.32955681,-1.49125185
8.826052728,251,264,2.87464547,-0.32631475,-1.49553293
8.848779373,252,265,2.87366211,-0.32539921,-1.49673012
8.869521576,252,265,2.87211629,-0.32345226,-1.49418542
8.886497929,253,266,2.87171710,-0.32114662,-1.49356388
8.910602155,254,267,2.87204857,-0.31988487,-1.49670900
8.929544290,254,267,2.87182736,-0.31844320,-1.49916906
8.946267922,255,268,2.87180623,-0.31558444,-1.49904169
8.969216451,255,268,2.87326499,-0.31061357,-1.49927281
8.989546900,256,269,2.87569314,-0.30711244,-1.50332342
9.006022819,256,269,2.87750586,-0.30557343,-1.50699569
9.028476929,257,270,2.88002014,-0.30371630,-1.50949556
9.051626117,258,271,2.88241248,-0.30225138,-1.51244630
9.072391572,258,271,2.88427394,-0.29965624,-1.51686763
9.089110810,259,272,2.88498945,-0.29847594,-1.52003881
9.109496224,260,273,2.88558586,-0.29794392,-1.52081739
9.126345321,260,273,2.88718158,-0.29664576,-1.52228803
9.148993967,261,274,2.88956969,-0.29558601,-1.52498869
9.178976643,261,274,2.89112100,-0.29508364,-1.52871853
9.185927756,261,274,2.89139282,-0.29440951,-1.52972589
9.208890924,262,275,2.89155882,-0.29326415,-1.53112919
9.232062723,263,276,2.89169393,-0.29115932,-1.53265062
9.246565787,263,276,2.89302301,-0.28811548,-1.53499474
9.271282774,264,277,2.89396179,-0.28703415,-1.53693988
9.291340896,265,278,2.89525602,-0.28577029,-1.53887047
9.307681308,265,278,2.89701914,-0.28440510,-1.54219693
9.328721910,266,279,2.89911890,-0.28212868,-1.54594443
9.351636929,267,280,2.90101552,-0.27945765,-1.54944079
9.366142922,267,280,2.90108483,-0.27826431,-1.55038715
9.389865856,268,281,2.90056176,-0.27699753,-1.55011694
9.412424871,269,282,2.90014845,-0.27527643,-1.55184988
9.426120017,269,282,2.90052044,-0.27308229,-1.55410079
9.449120312,270,283,2.90057264,-0.27167237,-1.55550886
9.471636318,270,283,2.90030603,-0.27035410,-1.55466877
9.486847270,271,284,2.89992833,-0.26904361,-1.55547901
9.508472629,271,284,2.89934715,-0.26717480,-1.55668186
9.532794587,272,285,2.89947414,-0.26493907,-1.55784973
9.551833963,273,286,2.89872182,-0.26367546,-1.55667706
9.569837786,273,286,2.89763342,-0.26203849,-1.55612003
9.596847115,274,287,2.89657492,-0.26041942,-1.55644353
9.611895122,274,287,2.89640855,-0.25862378,-1.55822320
9.628543776,275,288,2.89619717,-0.25751090,-1.55912311
9.651363837,276,289,2.89594159,-0.25670261,-1.55761100
9.674399225,276,289,2.89563905,-0.25639973,-1.55725871
9.688798480,277,290,2.89559517,-0.25563069,-1.55813784
9.712091332,277,290,2.89597307,-0.25440601,-1.55816374
9.733969166,278,291,2.89600422,-0.25373084,-1.55693669
9.748836209,279,292,2.89558733,-0.25349196,-1.55568544
9.771216809,279,292,2.89440419,-0.25336001,-1.55528676
9.793973806,280,293,2.89334567,-0.25265633,-1.55515212
9.808438283,280,293,2.89291321,-0.25239140,-1.55512999
9.838981815,281,294,2.89251271,-0.25234286,-1.55333113
9.852067475,282,295,2.89238038,-0.25221402,-1.55227841
9.868815644,282,295,2.89182017,-0.25256330,-1.55146146
9.892113077,283,296,2.89057421,-0.25238423,-1.55132486
9.912209567,283,296,2.88896961,-0.25162170,-1.55086568
9.930485701,284,297,2.88788011,-0.25197691,-1.54936576
9.951416807,285,298,2.88572046,-0.25211034,-1.54758068
9.972228920,285,298,2.88283936,-0.25222188,-1.54631917
9.996530798,286,299,2.87936047,-0.25243851,-1.54452727
10.011057284,286,299,2.87635180,-0.25278007,-1.54102228
10.033279453,287,300,2.87312561,-0.25361356,-1.53733128
10.048422845,288,301,2.86978916,-0.25432407,-1.53346274
10.071138151,288,301,2.86651758,-0.25512408,-1.53090306
10.091863087,289,302,2.86344467,-0.25574594,-1.52777587
10.109777825,289,302,2.86118734,-0.25519569,-1.52448233
10.132297058,290,303,2.86077078,-0.25638448,-1.52232279
10.161577718,291,304,2.86107505,-0.25722684,-1.52083581
10.169041325,291,304,2.86039149,-0.25798813,-1.51931599
10.191115941,292,305,2.85841279,-0.25937287,-1.51612512
10.213720038,292,305,2.85672710,-0.25923949,-1.51336832
10.229428667,293,306,2.85519986,-0.25909637,-1.51116116
10.251090174,294,307,2.85330567,-0.25892006,-1.50943745
10.273524267,294,307,2.85097452,-0.25827069,-1.50755008
10.289833445,295,308,2.84942685,-0.25713916,-1.50663459
10.311375662,295,308,2.84823717,-0.25587799,-1.50587415
10.334017251,296,309,2.84712604,-0.25523823,-1.50520768
